Player 16 12
|Random Agent| 8 18
Player 18 6
|Random Agent| 4 15
Player 17 9
Player 15 6
Player 15 9
Player 17 3
Player 16 5
Player 16 11
Player 15 9
Player 16 9
Player 15 6
|Random Agent| 10 15
|Random Agent| 11 15
|Random Agent| 7 17
Player 16 12
Player 15 5
Player 16 12
Player 16 4
Player 16 4
|Random Agent| 7 15
|Random Agent| 2 17
Player 18 12
Player 15 0
|Random Agent| 0 16
Player 15 7
|Random Agent| 12 16
Player 17 11
|Random Agent| 8 15
|Random Agent| 13 16
|Random Agent| 8 16
Player 16 4
|Random Agent| 12 15
|Random Agent| 10 15
|Random Agent| 14 17
Player 17 13
Player 15 6
Player 16 12
Player 16 2
Player 15 8
Player 17 4
Player 15 9
|Random Agent| 14 18
|Random Agent| 11 16
|Random Agent| 2 16
Player 16 2
Player 15 6
|Random Agent| 2 17
Player 15 11
Player 16 13
|Random Agent| 8 15
Player 16 9
Player 15 3
Player 15 7
Player 16 2
|Random Agent| 0 17
Player 16 5
Player 15 3
|Random Agent| 6 16
Player 16 3
|Random Agent| 6 16
Player 19 9
Player 16 6
Player 17 3
|Random Agent| 6 15
Player 15 0
Player 15 4
Player 18 9
|Random Agent| 4 16
|Random Agent| 13 16
Player 18 4
Player 15 4
Player 15 3
|Random Agent| 11 15
Player 15 5
Player 16 4
Player 17 9
Player 15 5
Player 16 14
Player 15 6
|Random Agent| 1 18
Player 15 3
Player 16 3
Player 15 0
Player 16 5
|Random Agent| 5 15
|Random Agent| 12 15
Player 16 8
|Random Agent| 11 15
Player 15 4
Player 17 3
|Random Agent| 0 15
Player 15 5
Player 16 9
|Random Agent| 0 17
Player 16 12
|Random Agent| 0 17
Player 16 11
Player 17 11
|('Player', 66)| |('Random Agent', 34)| |('None', 0)|
